state,district,name,address,lat,lng
Pahang,Kuantan,ZUS COFFEE – CALTEX SIMPANG GAMBANG,"Lot 10759, Batu 18, Jalan Gambang, 26300 Kuantan, Pahang",3.7139973,103.130871
Melaka,Melaka Tengah,ZUS COFFEE – CALTEX LEBUH SPA,"Lot 11723, Jalan Pe 1, Taman Paya Emas, 76450 Melaka, Malaysia",2.2853212,102.2043964
Kedah,Kubang Pasu,ZUS COFFEE – JITRA,"Lot 1521-A1, Pantai Halban, Bandar Darulaman Jaya, 06000 Jitra, Kedah Darul Aman.",6.2442367,100.4189823
Pulau Pinang,Timur Laut,ZUS COFFEE – PLAZA GURNEY,"Lot 170-03-68, Gurney Plaza, Persiaran Gurney, 10250, Penang, Malaysia",5.4331359,100.3162007
Sarawak,Kuching,ZUS COFFEE – EASTERN MALL SIBURAN,"Lot 1964C – Block C, Eastern Mall Siburan, 9C72+CW, 94200 Siburan, Sarawak.",1.3636548,110.4024442
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – PAVILION DAMANSARA HEIGHTS,"Lot 2.13.01. Level 2. No. 3, Jalan Damanlela, Pavilion Damansara Heights 50490 Kuala Lumpur.",3.1454176,101.6631162
Terengganu,Besut,ZUS COFFEE – JERTEH,"Lot 201,Jalan Tuan Hitam, 22000, Jerteh, Terengganu",5.7363601,102.4939223
Sarawak,Miri,ZUS COFFEE – BOULEVARD COMMERCIAL CENTRE MIRI,"Lot 2514, ground floor & 1st floor, block 5, Miri concession land, 98000 Miri, Sarawak",4.4165625,114.0106875
Perlis,Perlis,ZUS COFFEE – ARAU,"Lot 3A, Jalan Satu, Kompleks Tok Arau, Arau, 02600 Kangar, Perlis.",6.4282154,100.2723895
Sabah,Penampang,ZUS COFFEE – PLAZA 333,"Lot 42-0 (Ground Floor), Block E, Lorong Plaza 333-6, Plaza 333, Kobusak Commercial Centre, 88500 Kota Kinabalu, Sabah.",5.9245011,116.0777371
Selangor,Ulu Langat,ZUS COFFEE – ECO MAJESTIC SEMENYIH,"Lot 47-1, Jalan Eco Majestic 10/1A, 43500 Semenyih, Selangor.",2.9013313,101.8350087
Johor,Johor Bahru,ZUS COFFEE – PARADIGM MALL JB,"Lot 4FK-35, Paradigm Mall, Jalan Skudai Lbh, 81200, Johor.",1.5156318,103.6857437
Kedah,Kulim,ZUS COFFEE – SERAI WANGI MALL,"Lot 53, No.2500, Lorong Serai Wangi 4/10, Taman Serai Wangi III & IV, 09400, Padang Serai, Kedah Darul Aman",5.5235974,100.5446093
Kelantan,Pasir Mas,ZUS COFFEE – BANDAR TASEK RAJA,"Lot 579 (GF) Bandar Tasek Raja 17000 Pasir Mas,Kelantan.",6.0285964,102.1306512
Kedah,Bandar Baharu,ZUS COFFEE – CALTEX SELAMA,"Lot 5863, Jalan Sir Chulan, 34100, Selama, Perak",5.2212473,100.6852178
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – UCSI UNIVERSITY KL,"Lot 6, Block G, Ground Floor, UCSI University, No. 1, Jalan Menara Gading, UCSI Heights (Taman Connaught), 56000 Cheras, Kuala Lumpur.",3.0799657,101.7334397
Sabah,Papar,ZUS COFFEE – BENONI COMMERCIAL CENTRE,"Lot 90, Ground Floor, Benoni Commercial Centre, Jalan Papar Spur, 89600 Papar Sabah",5.7026091,115.9344431
Selangor,Petaling,ZUS COFFEE – MSU MEDICAL CENTRE,"Lot A01 (Ground Floor), MSU Medical Centre, University Drive, Off Persiaran Olahraga, Seksyen 13, 40100 Shah Alam, Selangor.",3.0768023,101.5528164
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – SAPURA LOT 91 KLCC,"Lot C-17, Level Concourse, Permata Sapura, Kuala Lumpur City Centre, 50088 Kuala Lumpur.",3.1531041,101.7137439
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – AVENUE K,"Lot C-6, Level Concourse, Avenue K, 156 Jalan Ampang, 50450 Kuala Lumpur.",3.1594766,101.7135149
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – THE EXCHANGE TRX,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan",3.1414724,101.7174466
Perak,Kinta,ZUS COFFEE – AEON MALL KINTA CITY,"Lot F65, Jalan Sultan Azlan Shah, Bandar Baru Medan Ipoh, 31400 Ipoh, Perak.",4.6173039,101.1168117
Negeri Sembilan,Seremban,ZUS COFFEE – LOTUS’S NILAI,"Lot G 41. 1, Jalan BBN 1/3, Putra Point, 71800 Nilai, Negeri Sembilan.",2.8159718,101.7904683
W.P. Putrajaya,W.P. Putrajaya,"ZUS COFFEE – SELERA PUTRA, SOUQ PUTRAJAYA","Lot G-005, Selera Putra, Souq Putrajaya, Presint 1, 62000 Putrajaya",2.9344796,101.689796
Selangor,Petaling,ZUS COFFEE – JAYA SHOPPING CENTRE,"Lot G-01, Jaya Shopping Centre, Jalan 14/17, Seksyen 14, 46100 Petaling Jaya, Selangor",3.109189,101.6371808
Perak,Larut Dan Matang,ZUS COFFEE – TAIPING MALL,"Lot G-02, Ground Floor, Taiping Mall, Jalan Tupai, 34000 Taiping Perak Darul Ridzuan",4.8497629,100.7425103
Melaka,Melaka Tengah,ZUS COFFEE – AEON MALL BANDARAYA MELAKA,"Lot G-09, Ground Floor, AEON Mall Bandaraya Melaka Shopping Centre, 2, Jalan Lagenda 2, Taman 1 Lagenda, 75400 Melaka",2.2148518,102.2463583
Johor,Segamat,ZUS COFFEE – SEGAMAT CENTRAL,"Lot G-11, Jalan Kolam Air, 85000 Segamat, Johor Darul Takzim",2.5122414,102.8124877
Johor,Kulai,ZUS COFFEE – UNIVERSITI TEKNOLOGI MALAYSIA (ARKED MERANTI),"Lot G-15, Arked Meranti, Universiti Teknologi Malaysia, Skudai, Johor Darul Takzim",1.5597006,103.6337583
Sabah,Penampang,ZUS COFFEE – ITCC PENAMPANG,"Lot G-16 (Ground Floor), ITCC Shopping Mall, Jalan Pintas Penampang, 89500 Penampang, Sabah",5.9101536,116.0914083
Terengganu,Hulu Terengganu,ZUS COFFEE – KUALA BERANG,"Lot G-264, Jalan Ajil – Kuala Berang, Kampung Rahmat, 21700 Kuala Berang, Terengganu Darul Iman.",5.0727754,103.0091243
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – HOLIDAY INN EXPRESS HOTEL JALAN RAJA CHULAN,"Lot G01, Ground Floor, 84, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1507827,101.7086975
Perak,Manjung,ZUS COFFEE – AEON MALL SERI MANJUNG,"Lot G039 & G40, Pusat Perniagaan, Jalan Manjung Point 3, 32040 Seri Manjung, Perak.",4.2199484,100.6715595
Negeri Sembilan,Seremban,ZUS COFFEE – SEREMBAN PRIMA MALL,"Lot G11, Ground Floor, Jalan Dato Bandar Tunggal, 70000 Seremban, Negeri Sembilan.",2.7250222,101.9388397
Johor,Muar,ZUS COFFEE – WETEX PARADE,"Lot G13 & G13A, Wetex Parade, No. 69, Jalan Ali, 84000 Muar, Johor",2.0448178,102.566361
W.P. Putrajaya,W.P. Putrajaya,ZUS COFFEE – ALAMANDA PUTRAJAYA,"Lot G22, Ground Floor. Jalan Alamanda, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya.",2.9424517,101.7106958
Sabah,Kota Kinabalu,ZUS COFFEE – EG MALL INANAM,"Lot G6, K9 & K10, EG Mall Inanam, No 6, Lot 28, Taman Perindustrian Bukit Emas, Mile 7 1/2, Jalan Tuaran, 88400 Kota Kinabalu, Sabah.",6.0059942,116.1452371
Kelantan,Tumpat,ZUS COFFEE – MYDIN TUNJONG,"Lot GB-12 & GB-13, Ground Floor Level, Mydin Tunjong, Lot PT 666, Jalan Kuala Krai, Bandar Baru Tunjong, 16010 Kota Bharu, Kelantan",6.187926584074456,102.20796521185548
