state,district,address,lat,lng
Kelantan,Kota Bharu,"H Elite Design Hotel The Coffee Bean & Tea Leaf @ H Elite, Ground Floor , Lot AG-G-01 Alwaqf Garden Boulevard @ Tanjung, Jalan Kuala Krai,",6.0691916,102.2390807
Selangor,Ulu Langat,"Ecohill Semenyih ECO HILL SEMENYIH (EHS) Lot L1-09, Level 1, Ecohill Mall, Jalan Ecohill 1/2, Setia Ecohill,",2.947441,101.8451441
Johor,Johor Bahru,Caltex Edu City  Caltex Educity PTD,1.4357616,103.61865
Johor,Johor Bahru,"Jalan Dedap Johor Jalan Dedap Johor (JDJ), Ground Floor No. 63 & 65, Jalan Dedap 4, Taman Johor Jaya,",1.4926153,103.7633889
Pulau Pinang,Seberang Perai Tengah,"Sunway Carnival Penang LG-53A, Sunway Carnival Mall, 3068, Jalan Todak Pusat Bandar Seberang Jaya, Seberang Jaya,",5.3986313,100.3980421
Perak,Kinta,"Pantai Hospital Ipoh 126, Jalan Tambun, Taman Ipoh,",4.6034366,101.1196516
Selangor,Sepang,"IOI City Mall 2 Lot LG-234, Lower Ground Floor, IOI City Mall, Lbh IRC, Ioi Resort,",2.9695812,101.7159584
Selangor,Ulu Langat,"Cheras Traders Square Jln. Dataran Cheras 6, Dataran Perniagaan Cheras,",3.0350944,101.7629679
Kelantan,Kota Bharu,"Troika Avenue Kota Bahru Bandar Kota Bharu,",6.120489,102.2408538
Pulau Pinang,Seberang Perai Selatan,"Iconic Point Penang 2, Jalan Iconic Point,",5.2835499,100.4762989
Selangor,Sepang,"KLIA 2 Gateway L2M-22, Gateaway@klia2, Terminal KLIA2, KL International Airport. Jalan KLIA 2/1",2.7440889,101.6856391
Selangor,Petaling,"Central I-City Lot LG-43, Lower Ground Floor, Central I-City, No. 1, Persiaran Multimedia, I-City, Seksyen 7, Shah Alam Selangor",3.0631936,101.4822359
Selangor,Petaling,"Zeva Boulevard Zeva Boulevard, Lot ZV-09-G, Persiaran Pinggiran Putra,Taman Pinggiran Putra, Taman Equine Seri Kembangan Selangor",2.9920422,101.6761814
Selangor,Petaling,"Temu City Elmina East  No. 57, Jalan Eserina Y U16/Y, Elmina East Shah Alam Selangor",3.185539,101.525249
Terengganu,Kuala Terengganu,"Icon Residence Terengganu No. K2 & K3-01, Icon Residence, Jalan Sultan Omar,",5.321967799999999,103.1420095
Johor,Batu Pahat,"D’Garden Batu Pahat  No 1 Ground Floor, Jalan Desa Botani 1, Taman Desa Botani",1.8672765,102.9327832
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bandar Sri Permaisuri  R-G-03, Kompleks Permaisuri Q, Jalan Sri Permaisuri, Bandar Sri Permaisuri,",3.1020444,101.7118779
Pulau Pinang,Seberang Perai Selatan,Ikano Batu Kawan Drive Thru 3B-3 HS (D),5.270447,100.4196629
Johor,Johor Bahru,"Gleneagles Medini Hospital Ground Floor, Gleneagles Hospital Medini, No. 2, Jalan Medini Utara 4,",1.4265967,103.6355912
