business_status,formatted_address,lat,lng,name,rating,state,parlimen,geometry,city
OPERATIONAL,"8, Persiaran Negeri Sembilan, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1362971,101.6757218,Federal Hill,4.4,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6757218, 3.1362971)",Lembah Pantai
OPERATIONAL,"AREA KL, Freedom Lawn Road, Jln Raja, City Centre, 50050 Kuala Lumpur, Malaysia",3.1487494,101.6936817,Freedom Lawn Area KL.,4.6,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.6936817, 3.1487494)",Bukit Bintang
OPERATIONAL,"PJ Bangsar Bypass, Mid Valley City, 59000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1205091,101.6763417,Friends Of Sungai Klang Mid Valley River Three Park,5,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6763417, 3.1205091)",Lembah Pantai
OPERATIONAL,"New Salak South Village, 57100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.0922706,101.704334,Gua Faler,0,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.704334, 3.0922706)",Bukit Bintang
OPERATIONAL,"No 5,Irama Wangsa Condominium, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1892522,101.7385,Irama Wangsa's Private Hillpark,4.6,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.7385, 3.1892522)",Setiawangsa
OPERATIONAL,"Kampung Datuk Keramat, 54000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1680869,101.7343489,Jelatek Public City Park,4.3,W.P. Kuala Lumpur,P.119 Titiwangsa,"c(101.7343489, 3.1680869)",Titiwangsa
OPERATIONAL,"4MRF+RJ, Bukit Persekutuan, 59000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1420035,101.6740904,Jungle Fowl Trail,3.7,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6740904, 3.1420035)",Lembah Pantai
OPERATIONAL,"Taman Bukit Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1087159,101.6853607,KIM GARDEN,4.1,W.P. Kuala Lumpur,P.122 Seputeh,"c(101.6853607, 3.1087159)",Seputeh
OPERATIONAL,"920, Jalan Cenderawasih, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1431273,101.6882629,KL Bird Park,4.5,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6882629, 3.1431273)",Lembah Pantai
OPERATIONAL,"East, Lot 201064, Jalan Melati Kuarza 3, 53100 Kuala Lumpur, Malaysia",3.2281093,101.7325187,KL East Park,4.1,W.P. Kuala Lumpur,P.116 Wangsa Maju,"c(101.7325187, 3.2281093)",Wangsa Maju
OPERATIONAL,"KLCC, Lot No. 241, Level 2, Suria, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Malaysia",3.1553166,101.7139427,KLCC Park,4.6,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.7139427, 3.1553166)",Bukit Bintang
OPERATIONAL,"Jalan Cenderawasih, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.145777,101.6889059,Kuala Lumpur Butterfly Park,4.2,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6889059, 3.145777)",Lembah Pantai
OPERATIONAL,"Bangsar South, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1117648,101.6665649,Lake Garden @ Bangsar South,4.5,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6665649, 3.1117648)",Lembah Pantai
OPERATIONAL,"66, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1648389,101.6616099,Laman Tuanku,4.6,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6616099, 3.1648389)",Segambut
OPERATIONAL,"Kuala Lumpur City Centre, 50100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1512535,101.6949667,Laman Tun Perak,4,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.6949667, 3.1512535)",Bukit Bintang
OPERATIONAL,"Jalan Pantai Permai, Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1038577,101.6616026,Lembah Pantai Community Centre,4.2,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6616026, 3.1038577)",Lembah Pantai
OPERATIONAL,"Jalan Perdana, Taman Tasik Perdana, Wilayah Persekutuan, 50480 Kuala Lumpur, Malaysia",3.1440058,101.687238,Orchid & Hibiscus Gardens,4,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.687238, 3.1440058)",Lembah Pantai
OPERATIONAL,"Lot 680, 6-1, Off, Jalan Segambut, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1808019,101.6795363,Otter's place,3,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6795363, 3.1808019)",Segambut
OPERATIONAL,"Jln Parlimen, Kuala Lumpur, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1510041,101.688231,Padang Merbok,4.3,W.P. Kuala Lumpur,P.117 Segambut,"c(101.688231, 3.1510041)",Segambut
